index,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,year,month,sentiment,month_year,Season,From,To
169,Solo Leisure,Economy Class,Amsterdam to Kiruna via Copenhagen,2022-02-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,  This airline is the worst airline I’ve ever booked with. They changed the trip 10 (!) times. When I checked suddenly one of the flights to get to Kiruna was cancelled. There was no warning. I called and they had no flights anymore. Then they gave me an option to start the flight on the third. I said that I would think about it and they changed the flight without my permission to the fifth. Their customer service is ridiculous. Do not fly with them if you want to fly on a specific date because they change their flights every other week. I have more e-mails saying their flights have been changed than I’ve had spam e-mails. I am beyond words for this company.,2022.0,2.0,Negative,2022-02,Winter,Amsterdam,Kiruna
170,Solo Leisure,Premium Economy,Oslo to Tromsø ,2022-01-01,2.0,1.0,2.0,1.0,1.0,1,no,1.0," I had booked a flight with SAS OSL-TOS in Plus Pro with departure 17.00 with two segments. SAS canceled the flight and moved me to another flight. That may happen sometimes. Strike 1: SAS moved me to a flight departing 14.30 with 3 segments. This was strange as there was a flight at 15.30 with two segments that was closer to the original booking. Strike 2: I followed the instructions and checked the new flight online and tried to change it there. 14 days after involuntary rescheduling the change should be without fees for all tickets. I was asked for a surplus and a 600 NOK fee. Strike 3: Contacting support I was told that I should not follow the instructions I received and change the ticket online. I should simply call support. Did I not understand that? Strike 4: Later meetings at work made 15.30 impossible. The original 17.00 would still have been OK, but I had to go for 18.50 ruining evening plans. Plus Pro gives change or cancelation without any fees over Plus, but online I got a 600 NOK fee. Strike 5: Contacting support again with estimated wait of 21 minutes, even with EBG priority. That was too long even without priority. The extraordinary situation creating long wait times have lasted for several years with SAS. Strike 6: Callback for support was not working. Understood that after waiting 35 minutes in vain for the callback. Strike 7: Calling in and identifying with my frequent flyer number my 40 minutes wait was ignored and I was but in the back of the line. Strike 8: After over 1 hour I was told that I should  not pay the fee. I should receive a link to pay for the change. I received a link for payment and there the 600 NOK fee was added again. Strike 9: I contacted support again and was explained that even if the difference between Plus and Plus Pro was fees for changes my Pros Pro booking had the fee as there was a promotion when I bought the ticket. So it basically was a Plus and not a Plus Pro ticket even if my booking says something else. Strike 10: With a price difference of 3 NOK between the 15.30 and 18.50 flights I had to pay 1364 NOK for the change. Strike 11: After getting my final booking I checked it online with no seating selected as expected and then selected 5A. Checked in online, boarded after some delay through the gate and thought everything was OK. No word or message from SAS. After being seated someone else also turned up with 5A on his boarding pass. Strike 12: Crew arrived to assist and I was asked if I has changed flight. Yes, I said, but I had selected a seat for this flight and heard nothing from SAS. Well, that is not how it works with SAS I was told. If my original booking is changed selecting a seat on the new flight is of no use as SAS was going to move me again to a random seat anyway. I had to move to 14D in regular economy and that was it. Strike 13: With others complaining they contacted SAS and had the seating corrected during the flight. Got to 5A and the other guy could move back to his girlfriend, which he preferred. I heard no one saying sorry and have not heard from SAS weeks after the event. Strike 14: Food and drink service for Plus was choosing from the snack trolley. Muffins? Chips? A chocolate bar? Strike 15: Same seats in Plus and in Go and 3 persons shoulder to shoulder. Strike 16: No WiFi service even if SAS promised this on all planes years ago. 1 of my last 6 flights had WiFi. Usual response is ""Oh, we do have WiFi on this plane, but it does not work"".",2022.0,1.0,Negative,2022-01,Winter,Oslo,Tromsø 
171,Solo Leisure,Economy Class,Frankfurt to Stockholm,2022-01-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  I bought a flight and days later, they sent me a new ticket confirmation. This was because they cancelled my flight (without any notice) and changed my flight for a new one, with a scale (for a 2-hours flight) and at a time that it wouldn't be possible for me to attend. So, I tried to call them for hours (it's the only way that you can communicate with them) and when they finally answered, only offered me the refund. I am still waiting for the refund.",2022.0,1.0,Neutral,2022-01,Winter,Frankfurt,Stockholm
172,Solo Leisure,Economy Class,Bodo to Oslo,2021-12-01,2.0,1.0,1.0,1.0,1.0,1,no,2.0,"  I have used SAS multiple times and always dirty aircrafts and unpolite flight attendants. On December the 21st my experience with SAS was brought to the next level when after landing it seemed that my backpack got stolen with lots of important things inside it. I fell asleep during the flight since I had a short night and woke up after landing. I was not in a rush to get out as I was still waking up, had almost 5h time for connection flight and due new Covid variant I didn´t feel like to get in the crowd. So I read the news on my phone while passengers were stepping out. Than the fun started after finding only empty cabinets. The flight attendants only could say that I had to hurry to get out the aircraft and didn´t give any advise. At the service desk they only said that I had to go to found and lost (missing X) to register my lost item there. Later on I found out that SAS should give me a case number since this incident happened on the aircraft but they are refusing. Customer service is refusing to give me a PIR number and says I need to contact in Oslo the service desk. I did this multiple times and also on my return home I visit them live but they keep on refusing. Customer service is doing the same. I have to consider my backpack as lost since also the police has dropped the case. Flight companies should start to understand that a travel insurance is not always the solution because some things just can´t be replaced. The flight attendants at SAS have a true Scandinavian mentality. If it doesn´t involve them, they really don´t care. I´m a Dutch living in Norway and most people in the Scandinavian countries are raised that you should not interfere with other people business and this applies also on business level. So a good customer service you really can forget with SAS. I have now decided to use only KLM. This companies has its flaws too but the flight attendants do upper most their best that passengers are not sneaking around during the flight. Side note, the flight from Bodo to Oslo the aircraft was rather empty in the back. During stepping out there were 2 flight attendants in the back. They must have seen something what was not correct.",2021.0,12.0,Neutral,2021-12,Winter,Bodo,Oslo
173,Couple Leisure,Economy Class,Zurich to Miami via Stockholm,2022-01-01,2.0,1.0,1.0,3.0,1.0,2,no,1.0," Terrible airline. Constantly delayed, did not provide contact information for customer service at the check in counter, passport control, nor at the departure gate. Lost luggage, rude staff, dirty aircraft. Would not recommend at all.",2022.0,1.0,Negative,2022-01,Winter,Zurich,Miami
174,Solo Leisure,Premium Economy,Chicago to Oslo via Copenhagen,2021-12-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0, As of Dec 31st SAS has continued to refuse to reinstate my flight on Jan 4th. On Dec 28th after a false positive covid test I was denied boarding and forced into a quarantine hotel to wait a PCR. I am now being told my flights are all cancelled because I was a no show this is inaccurate. I have my plane ticket that shows I was checked in. I have been asking the airline to reinstate at the very least my flights home so i can return home. Some of us carefully book travel within a small budget. Now I am left stranded in Europe with no way home and no way to pay for hotels thanks to SAS. The customer service staff are extremely rude over the phone.,2021.0,12.0,Negative,2021-12,Winter,Chicago,Oslo
175,Business,Business Class,Copenhagen to Stockholm,2021-11-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  SAS is worse than the low cost airlines. Maybe just bad luck that technical problems always occurs on mid afternoon flights with low no passengers. As an EBD with 3000k points I can say that they have, or, saves money on your time. End my relationship as from new year. ",2021.0,11.0,Negative,2021-11,Fall,Copenhagen,Stockholm
176,Couple Leisure,Economy Class,Washington to Brussels via Copenhagen,2021-12-01,3.0,2.0,1.0,1.0,2.0,1,no,2.0,"  New aircraft and comfortable seats. Friendly staff welcoming you on board and providing sanitation towels. The transatlantic flight started with an announcement that the staff was limited and that this would impact the service. Comparing with other carriers the service was subpar, no Choice of meals (only beef, what about vegetarians?) and one drink (eg water) and a coffee/tea for A73 to 8 hour flight is inappropriate. Especially not serving complimentary water during a transatlantic flight seems inhuman. Asking money for an alcoholic beverage wasn’t exactly what I expected butI had no need for it. I saw these practices more linked to low cost companies like Norwegian, Iceland air, Ryanair, Spirit and didn’t know SAS is in the same league.",2021.0,12.0,Positive,2021-12,Winter,Washington,Brussels
177,Family Leisure,Economy Class,Los Angeles to Copenhagen,2021-01-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Terrible customer service. Especially in these unpredictable times. Due to COVID, I wanted to reschedule my flight for later in the year. It wasn't easily done online, the pricing for the new ticket didn't make sense. I called and was on hold for over 1 hour. When I finally talked to a person she was rude and dismissive: ""you're within the 72 hr window, you have to pay a rebooking fee."" I was late because the website was inadequate and the phone service was backed up. No Thanks SAS",2021.0,1.0,Negative,2021-01,Winter,Los Angeles,Copenhagen
178,Family Leisure,Economy Class,Denmark to Chicago,2021-12-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  I called SAS and waited over a hour and 30 minutes to only be met with hostility by the phone representative and hung up on before she address my concern. I started the call with my name, reference number, and a request for a refund or voucher to rebooked the flight. This woman decided to say no to everything and refuse to let me speak to a manager. After I already let her know that I looked online to rebook to a later flight, she proceeded to say the policies won't book more than 12 months in advance. I let her know that I could not see any flights online at all. Then she says she can rebook it but would not tell me the first dates available in 2022 to travel. She kept talking over me, very rude, would not answer my question and ended the call without telling me dates available. Completely unprofessional and I will be sure to hold this company and that employee responsible. I was fine with rebooking my flight, but now they completely lost a customer and future customers as result.",2021.0,12.0,Negative,2021-12,Winter,Denmark,Chicago
179,Family Leisure,Economy Class,Los Angeles to Zurich,2021-12-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," Today, while I was at work, I received a phone call from the airport, asking me whether my family and I will be boarding our flight. I was shocked and confused, as I booked our reservations for a departure on Thursday, December 16 from LAX. Still on the phone with the airport, I went back to double check all of my documents, which all showed our departure date as December 16. Anxious and confused, I spoke to a representative on the phone from SAS. I was shocked when she told me that my flight had been rescheduled, without my permission or confirmation, to two days earlier on December 14. The SAS representative informed me that I should have received an email notifying me of this schedule change. Unfortunately, the email in question was sent directly to my spam folder, and I was never made aware of the major schedule change. She told me that upon receipt of the email, I had only a 15-day window to confirm the new schedule. However, of course, because I was not even aware that I received any sort of email notification, I was unable to consider or confirm the schedule change. Unfortunately, to my utter disappointment in the company, SAS took my silence as approval for the new departure date, which is both ridiculous and deceiving. Moreover, after hours on the phone with two separate representatives from SAS, I was told that because I was not on board the first December 14 flight, all of my money and bookings were completely lost and unrecoverable, including both departure and return flights. It is completely outrageous that I am not even granted the right to my return flights (Zurich to Copenhagen and Copenhagen to LAX), which are not dependent at all on the flights that were rescheduled by the airline, and all of which I have already paid for. Because I have spent over four months planning my two-week stay in Switzerland with family, and because SAS deceptively cancelled my entire air travel itinerary, after I first learned about a schedule change only 2 days before my planned departure, I have been forced to completely rebook all of my flights. Because I had to book new flights on such short notice, and because of limited space this close to my trip, I was given no choice but to pay four times the cost of my original booking with SAS, which has placed my family in a financial burden and has stolen the joy and excitement from our long-awaited holiday trip. I believe the only possible way for SAS to redeem itself in this shrewd and unfair situation is to refund the entire cost of our family's SAS booking, including taxes, fees, and additional baggage, as well as offer some sort of financial compensation for the extremely high prices we were forced to pay for new last-minute flights.",2021.0,12.0,Negative,2021-12,Winter,Los Angeles,Zurich
180,Business,Economy Class,Oslo to Dublin,2021-12-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Without doubt one of the worst airlines in Europe. 3 times in 2 weeks the airline cancelled my flight within 2 hours of departure. Once having just received boarding passes others as I am standing to check in. You will get a text saying sorry cancelled and no information. But don’t worry you will be rerouted for 3-4 times the travel time with the reason given “technical fault”. In reality the flight is not full and SAS are more than willing to treat passengers poorly and leave you in total ambiguity. Avoid this airline at all costs, it’s better to walk.",2021.0,12.0,Negative,2021-12,Winter,Oslo,Dublin
181,Solo Leisure,Premium Economy,Oslo to Budapest ,2021-07-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Can't remember the last time I flew with this airline. Should have been in July 2021 but they changed the day of departure, and left me with no option but to book with another airline. On the return from Budapest, I wasn't even on the pax. Left cold at 05.15am. It cost me over €400 to get home with another airline. SAS has reimbursed part of the claim, but, get this, credited the voucher I used to pay for the flights - but the voucher was already expired! How stupid can it get? No, SAS are not fit for purpose by any stretch of the imagination. I sincerely hope that this airline goes under to save others from kissing goodbye to their hard earned cash!",2021.0,7.0,Positive,2021-07,Summer,Oslo,Budapest 
182,Couple Leisure,Economy Class,Copenhagen to New York,2021-12-01,4.0,5.0,4.0,4.0,5.0,4,yes,8.0," A pleasure flying SAS: fast, efficient pre-flight telephone support solving luggage issue, super kind and service minded personnel all the way, very nice airport and cabin facilities with a Scandinavian Design touch, clean, and spacey even on Go+. Have traveled 4 times the Globe with SAS, often transatlantic - always good and even steadily improving. My favorite air carrier for sure (MD, not affiliated with SAS).",2021.0,12.0,Positive,2021-12,Winter,Copenhagen,New York
183,Solo Leisure,Economy Class,Helsinki to Copenhagen,2021-06-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  I booked a flight to go back home in June. The flight was cancelled by SAS due corona. I never had a compensation, even the flight was cancelled by the company and not me. After a lot of emails, they promised to give me a voucher but afterwards they didn't say anything more. So in short, never book with SAS, even they offer maybe cheaper flights, this is scam. The customer service is nothing, when you try to call, it takes hours to have contact with them and finally they are playing with you. I will never see my money back, even when it is my right because this is force majeur.",2021.0,6.0,Negative,2021-06,Summer,Helsinki,Copenhagen
184,Solo Leisure,Economy Class,Chicago to Hannover via Copenhagen,2021-11-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," I booked my 'Christmas Flight' for 2021 in order to visit my Grandfather for his 85th Birthday already 5 months in advance. Four weeks before departure my flight was cancelled and I got rebooked for my outbound flight from Chicago to Hannover, Germany. Then 10 days before departure my flight got cancelled again and they couldn't offer me another flight or airline. Unbelievable. It's the 19th of November. Everybody knows how expensive flights get around Christmas, so simply cancelling 10 days before departure isn't fair. I also like to add that the customer support for the USA was quite unpolite which made the situation worse. Customer support advised me to book with a different airline and claim for compensation on the SAS website. On the SAS website I found out now that I can't claim for compensation and I am very frustrated.",2021.0,11.0,Negative,2021-11,Fall,Chicago,Hannover
185,Family Leisure,Business Class,Athens to Copenhagen,2021-10-01,4.0,1.0,1.0,1.0,2.0,1,no,2.0,"  We were a party of 3 and having chosen our seats at the time of booking (and paying) we were underwhelmed to find our seat reservation changed when we came to check-in. We had originally wanted to sit in the same row (2). As the Greek agency staff could not help we tried to appeal to the person who had been given 'our' window seat. He was unable to accommodate us because he was traveling with a dog and therefore had to sit by the window. We have previously had our seats changed due to 'a large party'. SAS had sent a small plane to carry a full complement, that just has 3 cabin staff, which meant they spent most of their time servicing the economy passengers. On top of this; the food served was pretty atrocious, and as it was seafood I was amazed there was no other choice. It is, after all, a well-known fact that some people are allergic to seafood. In view of the above, we will, in the future, be looking for alternative airlines.",2021.0,10.0,Positive,2021-10,Fall,Athens,Copenhagen
186,Business,Economy Class,Malaga to Stockholm,2021-08-01,2.0,1.0,1.0,1.0,1.0,1,no,1.0,"  The service, the staff, the food, the absence of Wi-Fi they say they offer, the on-time travel that they used to do in a good way is nowadays zero to none. They overbook the flights so you don’t even get the seat to booked. The prices are up twice as much as 3 years ago. We did have 5 flights booked with SAS the coming months but have decided to cancel them.",2021.0,8.0,Neutral,2021-08,Summer,Malaga,Stockholm
187,Couple Leisure,Premium Economy,Los Angeles to Dublin via Stockholm & Copenhagen,2021-10-01,4.0,3.0,1.0,1.0,1.0,1,no,1.0, Extremely unclear Covid guidelines until you get to the airport. Nearly missed my flight due to this. Terrible customer service and rude. Expensive and they set me for multiple different 15 hour layovers making my flight to and from 2 days long either way.,2021.0,10.0,Negative,2021-10,Fall,Los Angeles,Dublin
188,Solo Leisure,Economy Class,Amsterdam to Trondheim via Oslo,2021-10-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," Amsterdam to Trondheim via Oslo. Terrible service and misleading information from staff. We where told that the checked in baggage would be automatically moved to the transferring flight, but then realized on or own that this was not right. Almost lost our baggage and had to run to the gate.",2021.0,10.0,Neutral,2021-10,Fall,Amsterdam,Trondheim
189,Solo Leisure,Business Class,Frankfurt to Stockholm,2021-10-01,2.0,3.0,2.0,1.0,3.0,2,no,2.0,"  In order to have more space in Covid times I decided to book a seat in Business Class. What a surprise it was to realize that the seat configuration and space in Business and Economy Class are identical on the A320. The next surprise was that lunch was served in a box very familiar with other airlines' Economy meals. I seriously wondered if there had been a misunderstanding when I made the booking. No inflight magazine, no newspapers ... just very basic. The only hint that I was not sitting in Economy was when the flight attendant gave me a box with three very good pieces of chocolate. The airplane was in good condition and clean. Still, this Business Class does not deserve the name Business.",2021.0,10.0,Positive,2021-10,Fall,Frankfurt,Stockholm
190,Solo Leisure,Premium Economy,Stockholm to London,2021-10-01,3.0,2.0,1.0,1.0,1.0,1,no,2.0,"  (Shameful that SAS masks cost cuts as due to Covid 19. Shameful for anyone who has lost someone dear to this virus). SAS has just given up. Good/business check in understaffed and a 40 minute queue. What for wasn’t clear. Main cabin looked worse. SAS lounge overcrowded and very poor f&b. Unless you like weird potato salad or crisps. Boarding a mess. No priority boarding (‘due to the pandemic’..now downgraded to endemic in the departure country). While process a mess and results in lore crowding. Ill thought through. Boarded late, left late. Inflight food is pork or nothing. Bad luck if you can’t eat pork or veggie. Ill thought out again. Arrived late. Perhaps the most disorganised airline to fly post cv19.",2021.0,10.0,Negative,2021-10,Fall,Stockholm,London
191,Business,Business Class,New York to Copenhagen ,2021-09-01,4.0,1.0,1.0,1.0,2.0,2,no,3.0,"  Flew over to Copenhagen in business. The crew was all but non-existent. We were about 15 people in business so you'd think they would take care of us, but no. The crew showed up like once every second hour if that, and with an attitude that was like passive-aggressive. No interaction, not even a ""welcome, how are you"", addressing us by our names, asking if they could assist us at ""bedtime"", nothing! The food - probably due to covid restrictions - was simply disgusting, but again, the total lack and care for their passengers was what really stood out. Spend your money on another company that appreciate your business. SAS simply does not deserve your business.",2021.0,9.0,Positive,2021-09,Fall,New York,Copenhagen 
192,Couple Leisure,Economy Class,Amsterdam to Stockholm,2021-09-01,3.0,4.0,2.0,1.0,2.0,1,no,2.0,"  SAS used to be a great airline that treated its loyal customers well. The last five experiences I have had with the company have however been truly horrible. Booked flights have been cancelled or rescheduled, delays, and no communication whatsoever from the company. I just to be proud of flying with SAS but now I’m really considering changing my airline",2021.0,9.0,Positive,2021-09,Fall,Amsterdam,Stockholm
193,Couple Leisure,Economy Class,Copenhagen to Tromso,2020-10-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,  Three of us had booked to fly Copenhagen- Tromso then Tromso - London on SAS in October 2020. Covid came. We were notified by SAS our flights had been cancelled and sit tight for refund. I have been fighting a losing battle with the airline ever since as they then claimed we had cancelled our flights and nothing was due to be refunded. We did not cancel our flights. We have lost AUD $1500.00. The airline cancelled my reference number for our enquiry and we can no longer follow up our claim. The lip service emails of escalating our claim never happened and they know we are stuck too far away to do anything. ,2020.0,10.0,Negative,2020-10,Fall,Copenhagen,Tromso
194,Solo Leisure,Economy Class,San Francisco to Dusseldorf via Copenhagen,2021-09-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," San Francisco to Dusseldorf via Copenhagen. I've booked flight with SAS in 1 month before departure date. When I tried to check-in I discovered that the flight date was changed (for 1 day later). Wow, what a surprise! I've checked my phone - no one called or texted me on 16th or later about this change. I checked email - there was one on 16 Aug that: 1. didn't include my name 2. didn't include any specific information about the change - for this reason it was recognized as SPAM by GMail and I've never seen it. My trip was for wedding and there's no point flying 1 day later. I called support at 3:30PM and robot said call tomorrow, we provide support over phone only till 3pm. Wow, no customer support after 3pm! I've called Belgium office late in the night and explained that I'll miss wedding due to SAS fault to communicate properly about the flight change. Company refused to give me refund (""we can't help you""). The worst flight change experience I've ever had with an air company! Thanks goodness I've used a credit card can dispute the whole amount.",2021.0,9.0,Neutral,2021-09,Fall,San Francisco,Dusseldorf
195,Couple Leisure,Economy Class,Los Angeles to Stockholm via Copenhagen,2021-08-01,2.0,1.0,1.0,1.0,2.0,1,no,1.0,"  We used to travel SAS all the time in the pas but will never travel SAS again! Recently, my husband and I flew with our son and his wife to Europe for their honeymoon. We also celebrated our fiftieth and SAS promised our son and wife an upgraded by an online SAS manager after our flights were rescheduled and we missed our non refundable Airbnb reservations However, SAS did not honor our son’s upgrade. They claimed there was no record of his upgrade! They charged our son and wife for beverages and water knowing about the upgrade fiasco! My husband and I had bought an upgrade to economy plus so we could sit with our son We were told that we had to pay $112 our only checkin bag. The bag was not included in our seat upgrades that cost us more than $500!. The checkin personnel were curt and unfriendly. This airline has to invest in customer service! I would give this airline a c minus.",2021.0,8.0,Negative,2021-08,Summer,Los Angeles,Stockholm
196,Family Leisure,Economy Class,Copenhagen to Newark,2021-08-01,4.0,1.0,4.0,3.0,4.0,3,yes,5.0,"  I like to experiment and try new things. While I try to keep an open mind I, however, appreciate that some things are the way they are for a reason. Usually because it works better that way. One such example is to get a beverage with your food. Not only before or only after but with the food. It seems that most people agree with this as I never experienced anything to the contrary.  Here on SAS, maybe for trying to be modern, they serve beverages 20 minutes before the meal and no beverages with the meal. Interesting but not working. Im sure it's of wanting not to work that the crew's union got this agreed.",2021.0,8.0,Positive,2021-08,Summer,Copenhagen,Newark
197,Couple Leisure,Economy Class,Copenhagen to Reykjavik,2020-09-01,3.0,1.0,1.0,1.0,1.0,3,no,1.0,  Booked a flight in October 2019 to fly in September 2020. Covid came and our government refused to let us travel. Delayed and later cancelled our flights. Asked for a refund and were told that it had been processed. Asked when as it hadn't been received and was then told in a lengthy email that because our flight had been cancelled by them due to adverse weather conditions we weren't eligible.  Went back again with facts about our interactions but have not heard anything since. Can't access our original booking on their website. Escalated to Danish Transport Authority as per SAS website but they can't help as we cancelled the booking. Will never fly SAS again. Their customer service representatives don't read your email details and just send standard replies !!,2020.0,9.0,Negative,2020-09,Fall,Copenhagen,Reykjavik
198,Family Leisure,Economy Class,Orlando to Oslo via Newark,2021-07-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  My wife and son had tickets from Orlando to Oslo on SAS/United, through Newark, which were booked and paid for two months before the flight. They get to the airport and are told that there is no reservation on United for the Orlando-Newark leg. I call SAS and they admit that they screwed up somehow (they find the reservation in their system), but tell me that they cannot rebook my wife and son for a later date because of ""rules."" The incredibly arrogant customer service rep tells me to buy new tickets, which, at this point, are 2500 USD per person. Then he gives me a lecture about me daring to call their customer service more than once and that ""I am wasting his time."" Shame on you SAS. If any of your higher ups ever read these reviews, consider how you treat your customers.",2021.0,7.0,Negative,2021-07,Summer,Orlando,Oslo
199,Solo Leisure,Economy Class,Brussels to Ålesund via Oslo,2021-07-01,1.0,2.0,1.0,1.0,2.0,1,no,1.0,"  I have met nothing but issues these last few years trying to find logic in how they work. Constant delays, every flight I've traveled with this company over the last few years have been delayed one way or another, whether its domestic flight or international. they have been delayed all of them. I understand that things can happen before during or when landing that can cause delay. but when its happened every time i fly with them, I've reached the end of my patience. In the last trip i took with this AL (12th of July - 31th of July (Was suppose to be the 30th) but because of delay i had to spend the night at an airport hotel. Roughly a week before my first flight, my trip's return date got rebooked, and with covid happening and quarantine being a thing i chose the specific return date for the quarantine, and the rebook date was making it so that the last day of quarantine would be the first day of my job. So i was trying to reach the support line several days in a row, spending several hours on hold to get help - I never did get through to them. On my way to the destination with this company just a few weeks ago the flight was delayed to Oslo by over 30 minutes. now these 30 minutes were crucial to make it to the connecting flight which i didn't make and because of that i had to go back out and through to checkin to get help again.  I dashed through the airport in hopes to make it, but to no avail. The airline had no more flights to my destination. the issue for me isn't the direct thing that i missed that flight but the lack of preparation for these situations, whether they hold the flight for just a few minutes for the people on the flight that have connecting flights with the same company or quicker assistance in said situation instead of having to run around the entire airport just to get help. In the end i got transfered to a different airline, and reached my destination eventually. When going to retrieve my baggage from baggage claim my suitcase was nowhere to be found, when talking to baggage assistance by the belt was told it was never loaded onto the plane. I had to wait 2 days getting my baggage back.  Last but not least the return: plane took off 30 minutes past expected departure time. missed my connected flight and had to spend the night. Got comped for the hotel, but not food. if you have an option other than this airline.",2021.0,7.0,Negative,2021-07,Summer,Brussels,Ålesund
200,Business,Premium Economy,Munich to Copenhagen,2021-07-01,5.0,5.0,5.0,5.0,5.0,1,no,1.0, Is this how SAS welcome back frequent flyers? Dear Gold Card member: since you haven’t used our service for a year we have downgraded you to Silver - now you start using our service again. Thanks for that - I will have no loyalty to travel with SAS going forward!,2021.0,7.0,Positive,2021-07,Summer,Munich,Copenhagen
201,Solo Leisure,Economy Class,Reykjavík to Gdańsk,2021-03-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Never choose this airline. I was cheated on the voucher and on my own money. I received a voucher with a long delay, when I used it it turned out that my flight was canceled again and I could only choose the option of another voucher. In the meantime, I was making calls and wasting my money on calls to get my money back. With no result. All the time I was waiting for another voucher for the second canceled flight, today I called to ask where the voucher was and I found out that this voucher for the second canceled flight was the first voucher!",2021.0,3.0,Negative,2021-03,Spring,Reykjavík,Gdańsk
202,Solo Leisure,Economy Class,New York to Faroe Islands via Copenhagen,2021-06-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  The absolute worst customer service, bar none. I've been trying to get my money back for flights cancelled due to Covid for over a year and a half. Slipped into a ""voucher"" I didn't request that locked my money up for 12 months - and not 12 months from booking date, or original flight date - 12 months from date of voucher issuance, which was already several months after the trip that never happened was scheduled for departure. June 2021 finally rolls around after booking the tickets January 2020 & the last time I called they were about to automatically extend that voucher another 6 months. Without. Asking. Me. Or making any effort to give notice. I had to fight tooth & nail to make sure that didn't happen. This is all over a ""refundable"" voucher. What an amazing feature ... when you actually refund people their money. I've had a collective 17 phone calls with these clowns, and I've never spoken with a less helpful bunch of idiots. Everyone says something different than the last person. Absolutely no systems or processes in order as a company when it comes to policies and training - that's painfully obvious. Hour long hold times for somebody to hang up on you within minutes of answering so you get to go through the wait process again and burn your afternoon. I've waisted nearly 15 hours of my life talking to these people. I have the menu systems and robot prompts all memorized by what numbers I have to press to get me through the quickest. I feel for anybody going through the same situation with these morons. A Delta refund from the same trip took 1 email and the money was back in my account within 5 business days. Do better SAS. I'll never book with you again.",2021.0,6.0,Neutral,2021-06,Summer,New York,Faroe Islands
203,Solo Leisure,Economy Class,Helsinki to Athens via Stockholm,2020-07-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Flying to attend my mother's funeral. The connecting flight was cancelled and SAS issued and send to my email a return ticket, which they later forced me to accept. I applied for refund for the slots I haven't received any offer. This was done on the same day (July 2020). Almost a year later I am still waiting for my money. Have already called more than once asking about my request but all I hear from them is a promise they will go though my request and get in touch with me within a week. I will never use this airline again. Cannot be trusted and are far from being considered reliable. ",2020.0,7.0,Neutral,2020-07,Summer,Helsinki,Athens
204,Solo Leisure,Economy Class,Oslo to Longyearbyen,2021-05-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  SAS cancelled my flight, and refunded the funds on the voucher I had used to book this flight. Unfortunately the voucher expired a few days after the refund, of which I wasn't informed. So when I wanted to rebook my flight, I couldn't do that. When I inquired about this, the replay boiled down to 'too bad, you lose your money'. I really wonder if this is how SAS acts normally, because I don't call this customer friendly.",2021.0,5.0,Negative,2021-05,Spring,Oslo,Longyearbyen
205,Couple Leisure,Economy Class,Tromso to Longyearbyn,2021-05-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," We had flights booked in June, (booked almost a year ago) but the Norwegian authorities have closed the area we were visiting to foreign nationals for Covid reasons. SAS refuses to make a refund, arguing that since it is still operating the flights, it is our decision not to travel. This is a bucket shop airline. Avoid it at all costs.",2021.0,5.0,Negative,2021-05,Spring,Tromso,Longyearbyn
206,Couple Leisure,Economy Class,Oslo to Ålesund ,2021-05-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  SAS posted fake advertisement on Instagram and promoted cheap flights from Oslo. I purchased 2 tickets and spent 1600 NOK on Wednesday. Then on Friday they just changed my flight on a day (it was a short trip, I couldn't accept that change). And they offered me only 400NOK of refund. They cancelled my flight (or perhaps there were never a real flight scheduled on that date) and offered me only 1/4 of my money back. That's what I call stealing.  I will never use it again.",2021.0,5.0,Negative,2021-05,Spring,Oslo,Ålesund 
207,Solo Leisure,Economy Class,Stockholm to Berlin,2020-11-01,5.0,5.0,3.0,1.0,3.0,5,yes,9.0, I can't agree on the bad reviews. I had to cancel or change my tickets a few times and all went well. Customer service both at the (Scandinavian) Airports are good and I had someone on the phone instantly. The flight itself was pretty empty and the service was limited due to the pandemic. Very friendly cabin crew and extraordinarily comfortable and warm cabin design. I even got a free smoothie! I would always fly SAS again.,2020.0,11.0,Positive,2020-11,Fall,Stockholm,Berlin
